name,category,confidence,notes
Puyo Puyo Tetris 2,Competitive Multiplayer,medium,Has story mode but primary mode is endless puzzle multiplayer
Tetris 99,Competitive Multiplayer,high,Battle royale Tetris with no ending
Pac-Man 99,Competitive Multiplayer,high,Battle royale Pac-Man with no ending
Super Mario Bros. 35,Competitive Multiplayer,high,Battle royale Mario with no ending (shut down)
GeoGuessr,Competitive Multiplayer,high,Geography game with no ending
Jackbox Party Packs,Competitive Multiplayer,high,Party games with no ending
Tabletop Simulator,Sandbox / Creative,high,Board game platform with no ending
Gartic Phone,Competitive Multiplayer,high,Party drawing game with no ending
Overcooked! All You Can Eat,Competitive Multiplayer,medium,Has campaign levels but party co-op is endless
Plate Up!,Competitive Multiplayer,high,Co-op restaurant roguelike with endless runs
Moving Out 2,Competitive Multiplayer,medium,Has levels but co-op party play is the primary mode
Crossy Road,Endless Roguelike,high,Endless runner with no ending
Subway Surfers,Endless Roguelike,high,Endless runner with no ending
Temple Run 2,Endless Roguelike,high,Endless runner with no ending
Jetpack Joyride,Endless Roguelike,high,Endless runner with no ending
Flappy Bird,Endless Roguelike,high,Endless arcade with no ending
Fruit Ninja,Endless Roguelike,high,Endless arcade with no ending
Candy Crush Saga,Simulation / Management,high,Puzzle game with thousands of levels and no ending; continually updated
Angry Birds 2,Simulation / Management,high,Continually updated with no ending
Bejeweled 3,Simulation / Management,high,Puzzle game with endless modes
Words With Friends,Competitive Multiplayer,high,Word game with no ending
Scrabble GO,Competitive Multiplayer,high,Word game with no ending
Wordle (app versions),Competitive Multiplayer,high,Daily puzzle with no ending
Coin Master,Simulation / Management,high,Mobile game with no ending
Hay Day,Simulation / Management,high,Mobile farming with no ending
Clash of Clans,Competitive Multiplayer,high,Mobile strategy with no ending
Township,Simulation / Management,high,Mobile city builder with no ending
Idle Champions of the Forgotten Realms,Simulation / Management,high,Idle game with no ending
Cookie Clicker,Simulation / Management,high,Idle/clicker with no ending
Clicker Heroes,Simulation / Management,high,Idle/clicker with no ending
AdVenture Capitalist,Simulation / Management,high,Idle/clicker with no ending
Tap Titans 2,Simulation / Management,high,Idle/clicker with no ending
AFK Arena,MMO / Live Service,high,Gacha idle RPG with no ending
Raid: Shadow Legends,MMO / Live Service,high,Gacha RPG with no ending
Summoners War,MMO / Live Service,high,Gacha RPG with no ending
Epic Seven,MMO / Live Service,high,Gacha RPG with no ending
Arknights,MMO / Live Service,high,Gacha tower defense with no ending; ongoing story
Azur Lane,MMO / Live Service,high,Gacha with no ending
Fire Emblem Heroes,MMO / Live Service,high,Mobile gacha with no ending
Fate/Grand Order,MMO / Live Service,high,Mobile gacha with ongoing story
Granblue Fantasy,MMO / Live Service,high,Mobile gacha with no ending
Princess Connect! Re:Dive,MMO / Live Service,high,Mobile gacha with no ending
Blue Archive,MMO / Live Service,high,Mobile gacha with no ending
Nikke: Goddess of Victory,MMO / Live Service,high,Mobile gacha with no ending
Counter:Side,MMO / Live Service,high,Mobile gacha with no ending
Punishing: Gray Raven,MMO / Live Service,high,Mobile gacha with no ending
Pokemon GO,MMO / Live Service,high,AR game with no ending
Pokemon TCG Live,Competitive Multiplayer,high,Digital card game with no ending
Ingress,MMO / Live Service,high,AR game with no ending
Star Citizen,MMO / Live Service,high,Persistent universe MMO with no ending (still in alpha)
Albion Online,MMO / Live Service,high,Sandbox MMO with no ending
Second Life,Sandbox / Creative,high,Virtual world with no ending
Habbo,Sandbox / Creative,high,Social virtual world with no ending
IMVU,Sandbox / Creative,high,Social virtual world with no ending
Tower Unite,Sandbox / Creative,high,Social gaming platform with no ending
Crayta,Sandbox / Creative,high,Game creation platform with no ending
Robocraft,Competitive Multiplayer,high,Build and battle with no ending
Crossout,Competitive Multiplayer,high,Build and battle vehicular combat with no ending
Mech Warrior Online,Competitive Multiplayer,high,Mech combat with no ending
Star Conflict,Competitive Multiplayer,high,Space combat with no ending
Planetside 2,Competitive Multiplayer,high,MMOFPS with no ending
Arma 3 (multiplayer),Competitive Multiplayer,high,Military sandbox; multiplayer has no ending
DCS World,Simulation / Management,high,Flight combat sim with no ending
IL-2 Sturmovik: Great Battles,Simulation / Management,high,Flight combat sim with no ending
Civilization: Beyond Earth,Simulation / Management,medium,Has victory conditions but inherently endless replayable
Age of Empires IV (multiplayer),Competitive Multiplayer,medium,Has campaign but multiplayer/skirmish is endless
StarCraft II (multiplayer),Competitive Multiplayer,high,Competitive multiplayer has no ending (campaign is separate and completable)
Command & Conquer Remastered (multiplayer),Competitive Multiplayer,high,Multiplayer/skirmish is endless
Company of Heroes 3 (multiplayer),Competitive Multiplayer,medium,Campaign completable but multiplayer is endless
Total War: Pharaoh (multiplayer),Competitive Multiplayer,medium,Campaign has objectives but multiplayer is endless
Supremacy 1914,Competitive Multiplayer,high,Browser strategy with no ending
Forge of Empires,Simulation / Management,high,Browser/mobile strategy with no ending
Tribal Wars,Competitive Multiplayer,high,Browser strategy with no ending
Travian,Competitive Multiplayer,high,Browser strategy with no ending
OGame,Competitive Multiplayer,high,Browser space strategy with no ending
Power Wash Simulator,Simulation / Management,medium,Has completable career but zen/endless is how many play; borderline
Truck Simulator series,Simulation / Management,high,Driving sim with no ending
Bus Simulator 21,Simulation / Management,high,Driving sim with no ending
Snowrunner,Simulation / Management,medium,Has missions/contracts but open world trucking continues indefinitely
MudRunner,Simulation / Management,high,Off-road driving sim with no ending
The Hunter: Call of the Wild,Simulation / Management,high,Hunting sim with no ending
Fishing Planet,Simulation / Management,high,Fishing sim with no ending
Russian Fishing 4,Simulation / Management,high,Fishing sim with no ending
Golf It!,Competitive Multiplayer,high,Mini golf multiplayer with no ending
What the Golf!,Simulation / Management,medium,Has levels and a completion state; this IS completable — included at medium confidence for endless daily challenges only
Poly Bridge 2,Simulation / Management,medium,Has campaign puzzles that complete but sandbox continues
Besiege,Sandbox / Creative,medium,Has campaign levels but sandbox is primary
Scrap Mechanic,Sandbox / Creative,high,Sandbox building with no ending
Trailmakers,Sandbox / Creative,high,Vehicle building sandbox with no ending
Brick Rigs,Sandbox / Creative,high,Brick vehicle sandbox with no ending
Avorion,Sandbox / Creative,high,Space sandbox with no ending
Stormworks: Build and Rescue,Sandbox / Creative,high,Vehicle building sandbox with no ending
From the Depths,Sandbox / Creative,high,Vehicle building sandbox with no ending
Automation: The Car Company Tycoon,Simulation / Management,high,Car company sim with no ending
Motorsport Manager,Simulation / Management,high,Racing management with no ending
Roller Champions,Competitive Multiplayer,high,Sports multiplayer with no ending (shut down)
Multiversus,Competitive Multiplayer,high,Platform fighter with no ending
Battlerite,Competitive Multiplayer,high,Arena brawler with no ending
Realm Royale Reforged,Battle Royale,high,Battle royale with no ending
Super Mecha Champions,Battle Royale,high,Mecha battle royale with no ending
Farlight 84,Battle Royale,high,Battle royale with no ending
Surviv.io,Battle Royale,high,Browser battle royale with no ending
Zombs Royale,Battle Royale,high,Browser battle royale with no ending
Krunker,Competitive Multiplayer,high,Browser FPS with no ending
Shell Shockers,Competitive Multiplayer,high,Browser FPS with no ending
Slither.io,Competitive Multiplayer,high,Browser multiplayer with no ending
Agar.io,Competitive Multiplayer,high,Browser multiplayer with no ending
Diep.io,Competitive Multiplayer,high,Browser multiplayer with no ending
Surviv.io,Battle Royale,high,Browser battle royale with no ending
Bonk.io,Competitive Multiplayer,high,Browser physics brawler with no ending
Skribbl.io,Competitive Multiplayer,high,Browser drawing game with no ending
Wormate.io,Competitive Multiplayer,high,Browser multiplayer with no ending
Teeworlds,Competitive Multiplayer,high,2D multiplayer shooter with no ending
Xonotic,Competitive Multiplayer,high,Arena FPS with no ending
Fistful of Frags,Competitive Multiplayer,high,Western multiplayer FPS with no ending
Toribash,Competitive Multiplayer,high,Physics-based fighting with no ending
Deceit 2,Competitive Multiplayer,high,Social deduction with no ending
Dread Hunger,Competitive Multiplayer,high,Social deduction survival with no ending
Project Winter,Competitive Multiplayer,high,Social deduction survival with no ending
Throne and Liberty,MMO / Live Service,high,MMO with no ending
Tarisland,MMO / Live Service,high,MMO with no ending
Blue Protocol,MMO / Live Service,high,MMO with no ending
Torchlight Infinite,MMO / Live Service,high,Live service ARPG with no ending
Last Epoch,MMO / Live Service,medium,Has a campaign ending but live service seasonal play is primary
Undecember,MMO / Live Service,high,Live service ARPG with no ending
Arena Breakout,Competitive Multiplayer,high,Mobile extraction shooter with no ending
Delta Force: Hawk Ops,Competitive Multiplayer,high,Multiplayer shooter with no ending
Spectre Divide,Competitive Multiplayer,high,Competitive shooter with no ending
Marvel Rivals,Competitive Multiplayer,high,Hero shooter with no ending
Concord,Competitive Multiplayer,high,Hero shooter with no ending (shut down)
Lemnis Gate,Competitive Multiplayer,high,Time-loop strategy shooter with no ending
Naraka: Bladepoint,Battle Royale,high,Battle royale/action with no ending
Kagura Breaker,Competitive Multiplayer,high,Multiplayer action with no ending
Supervive,Competitive Multiplayer,high,MOBA battle royale with no ending
Deadlock,Competitive Multiplayer,high,Valve MOBA shooter with no ending
Predecessor,Competitive Multiplayer,high,MOBA with no ending
Fault: Elder Orb,Competitive Multiplayer,high,MOBA with no ending
Albion Online,MMO / Live Service,high,Sandbox MMO with no ending
Myth of Empires,Survival,high,Sandbox survival with no ending
Last Oasis,Survival,high,Nomadic survival MMO with no ending
Citadel: Forged with Fire,Survival,high,Survival RPG with no ending
Dark and Light,Survival,high,Survival RPG with no ending
Subsistence,Survival,high,Solo/co-op survival with no ending
The Wild Eight,Survival,medium,Has story elements but primarily survival with no ending
Abiotic Factor,Survival,high,Co-op survival with no ending
Soulmask,Survival,high,Survival with no ending
Palworld,Survival,medium,Has boss progression but primarily endless survival sandbox
Sunkenland,Survival,high,Survival with no ending
Smalland: Survive the Wilds,Survival,high,Survival with no ending
Necesse,Survival,medium,Has bosses but primarily endless survival sandbox
Vintage Story,Sandbox / Creative,high,Survival sandbox with no ending
Len's Island,Survival,medium,Has dungeon progression but survival/farming continues indefinitely
Craftopia,Survival,high,Survival sandbox with no ending
Longvinter,Survival,high,Survival with no ending
Occupy Mars: The Game,Survival,high,Survival sim with no ending
Breathedge,Survival,medium,Has a story campaign that IS completable; borderline
Volcanoids,Survival,medium,Has progression but no definitive ending
Chimeraland,Survival,high,Open world survival MMO with no ending
Just Dance 2024,Music / Rhythm,high,Dance game with no ending; score chase
Just Dance 2023,Music / Rhythm,high,Dance game with no ending
Taiko no Tatsujin: Drum 'n' Fun!,Music / Rhythm,high,Rhythm game with no ending
Rhythm Doctor,Music / Rhythm,medium,Has campaign levels but endless custom levels
Friday Night Funkin',Music / Rhythm,medium,Has weeks/story but modding community makes it effectively endless
Project Diva Mega Mix+,Music / Rhythm,high,Rhythm game with no ending; score chase
Muse Dash,Music / Rhythm,high,Rhythm game with no ending; score chase
Geometry Dash,Music / Rhythm,high,Rhythm platformer with user levels; no ending
DJMAX Respect V,Music / Rhythm,high,Rhythm game with no ending
Groove Coaster,Music / Rhythm,high,Rhythm game with no ending
Deemo,Music / Rhythm,medium,Has a story ending but rhythm gameplay continues indefinitely
Cytus II,Music / Rhythm,medium,Has story elements but rhythm gameplay is endless
Arcaea,Music / Rhythm,high,Rhythm game with no ending
Phigros,Music / Rhythm,high,Rhythm game with no ending
Rotaeno,Music / Rhythm,high,Rhythm game with no ending
Musync,Music / Rhythm,high,Rhythm game with no ending
Robeats,Music / Rhythm,high,Roblox rhythm game with no ending
A Dance of Fire and Ice,Music / Rhythm,high,Rhythm game with levels but no overarching ending; score chase
Melatonin,Music / Rhythm,medium,Has chapters but rhythm gameplay loops
Fuser,Music / Rhythm,high,DJ mixing game with no ending
Unpacking,Simulation / Management,medium,Has clear levels and an ending; this IS completable — lower confidence
Dorfromantik,Simulation / Management,medium,"Has a ""classic"" score mode that is endless but also has campaign with endings"
Mini Motorways,Simulation / Management,high,Endless strategy puzzle with no ending
Mini Metro,Simulation / Management,high,Endless strategy puzzle with no ending
Islanders,Simulation / Management,high,Endless city builder puzzle with no ending
Townscaper,Sandbox / Creative,high,Creative building toy with no ending
Bad North,Simulation / Management,medium,Has a final island but roguelike loop continues
Luck be a Landlord,Endless Roguelike,medium,Has floors and a final boss but loop structure is effectively endless
Backpack Hero,Endless Roguelike,medium,Has endings but roguelike loop continues
Dome Keeper,Endless Roguelike,medium,Has prestige mode; run-based with no true ending
Poker Night 2,Competitive Multiplayer,high,Card game with no ending
Prominence Poker,Competitive Multiplayer,high,Poker game with no ending
PokerStars VR,Competitive Multiplayer,high,Poker in VR with no ending
